Streamline ID,Unit,Area,City,State,Listing URL (KeyData canonical),Airbnb ID,VRBO ID,Missing Airbnb,Missing VRBO,Dark both OTAs,Reviews w/o listing ID,Not active in KeyData,No area,Note
1101695,Balboa Duplex II,Orange County,Newport Beach,CA,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/balboa-duplex-ii,,5294108,X,,,,,,
1101664,Gull Cottage,Orange County,Seal Beach,CA,https://www.casagosocal.com/vacation-rentals/orange-county/seal-beach/gull-cottage,1618317326759716847,,,X,,,,,
1101681,Mickey's Hideaway,Orange County,Anaheim,CA,https://www.casagosocal.com/vacation-rentals/orange-county/anaheim/mickeys-hideaway,,5294078,X,,,,,,
1101794,Newport Coastal Comfort,Orange County,Newport Beach,CA,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-coastal-comfort,,5294304,X,,,,,,
1101697,Newport Coastal Compound,Orange County,Newport Beach,CA,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-coastal-compound,1613974573177791219,,,X,,,,,
1101645,Newport Vacation Memories,Orange County,Newport Beach,CA,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-vacation-memories,1613974402129823033,,,X,,,,,
1101684,Pier View Paradise,Orange County,San Clemente,CA,https://www.casagosocal.com/vacation-rentals/orange-county/san-clemente/pier-view-paradise,,5294085,X,,,,,,
1101663,Tommy Bahama Beach Rd I,Orange County,Dana Point,CA,https://www.casagosocal.com/vacation-rentals/orange-county/dana-point/tommy-bahama-beach-rd-i,,5294041,X,,,,,,
1101676,Tommy Bahama Beach Rd II,Orange County,Dana Point,CA,https://www.casagosocal.com/vacation-rentals/orange-county/dana-point/tommy-bahama-beach-rd-ii,,5294068,X,,,,,,
1051208,Bear's Den,IdyllwildTemecula,Idyllwild,CA,https://casago.com/rentals/1014387,,5136156,X,,,X,,,"Airbnb: 3 review(s), latest 2026-06-19"
1121125,Peaceful Cabin,IdyllwildTemecula,Idyllwild,CA,https://www.casagosocal.com/vacation-rentals/idyllwild/idyllwild/peaceful-cabin,1742100515929780609,,,X,,,,,
1050589,Desert Wonder,HighDesert,Joshua Tree,CA,,1047068435854386068,5135363,,,,,X,,
1050960,Mojave Magic,HighDesert,Twentynine Palms,CA,,1603817897364653901,5135892,,,,,X,,
1101630,The Valley's Cabin,Lake Arrowhead,Green Valley Lake,CA,https://www.casagosocal.com/vacation-rentals/lake-arrowhead/green-valley-lake/the-valleys-cabin,,5293974,X,,,,,,
1101745,Hilltop Heaven,(unassigned),Atascadero,CA,https://casago.com/rental/1101745.html,,,X,X,X,,,X,
1126958,San Moritz Lake House,(unassigned),Crestline,CA,https://www.casagosocal.com/vacation-rentals/lake-arrowhead/crestline/san-moritz-lake-house,1719680217336202937,5367265,,,,,,X,
1050897,Desert Flower,Flagstaff,Flagstaff,AZ,https://www.casagoarizona.com/vacation-rentals/flagstaff/flagstaff/desert-flower,1683514231734699330,,,X,,,,,
1050932,Getaway in the Sun,Flagstaff,Flagstaff,AZ,https://www.casagoarizona.com/vacation-rentals/flagstaff/flagstaff/getaway-in-the-sun,1612343205390640658,,,X,,,,,
1050933,Hideaway in the Sun,Flagstaff,Flagstaff,AZ,https://www.casagoarizona.com/vacation-rentals/flagstaff/flagstaff/hideaway-in-the-sun,1612553574075556615,,,X,,,,,
