priority,unit,area,property_group,what_is_wrong,what_to_fix,detail,streamline_unit_id,airbnb_url,vrbo_url,website_url,admin_url,owner,status,notes
high,Pismo Paradise,Central Coast,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101639,https://www.airbnb.com/rooms/1613980042100646246,,https://www.casagosocal.com/vacation-rentals/central-coast/pismo-beach/pismo-paradise,,,open,
high,Sailaway Cabin,Central Coast,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101744,https://www.airbnb.com/rooms/1613980590143218163,,https://www.casagosocal.com/vacation-rentals/central-coast/ventura/sailaway-cabin,,,open,
high,Desert Shores,Coachella,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1129491,https://www.airbnb.com/rooms/1745065684356046292,,https://casago.com/rental/1129491.html,,,open,
high,Hollywood Oasis,Coachella,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1130036,,,https://casago.com/rental/1130036.html,,,open,
high,The Cove Villa,Coachella,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1121874,,,https://casago.com/rental/1121874.html,,,open,
high,Desert Flower,Flagstaff,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1050897,https://www.airbnb.com/rooms/1683514231734699330,,https://www.casagoarizona.com/vacation-rentals/flagstaff/flagstaff/desert-flower,,,open,
high,Getaway in the Sun,Flagstaff,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1050932,https://www.airbnb.com/rooms/1612343205390640658,,,,,open,
high,Getaway in the Sun,Flagstaff,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050932,https://www.airbnb.com/rooms/1612343205390640658,,,,,open,
high,Hideaway in the Sun,Flagstaff,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1050933,https://www.airbnb.com/rooms/1612553574075556615,,,,,open,
high,Hideaway in the Sun,Flagstaff,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050933,https://www.airbnb.com/rooms/1612553574075556615,,,,,open,
high,Desert Wonder,HighDesert,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050589,https://www.airbnb.com/rooms/1047068435854386068,https://www.vrbo.com/5135363,,,,open,
high,Mojave Magic,HighDesert,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050960,https://www.airbnb.com/rooms/1603817897364653901,https://www.vrbo.com/5135892,,,,open,
high,Bear's Den,IdyllwildTemecula,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1051208,,https://www.vrbo.com/5136156,https://casago.com/rentals/1014387,,,open,
high,Bear's Den,IdyllwildTemecula,,Guest reviews but no listing ID,"The listing is live and taking bookings — do NOT rebuild it. Find the live listing, copy its ID, and paste it into Streamline.","Airbnb: 3 review(s), latest 2026-06-19",1051208,,https://www.vrbo.com/5136156,https://casago.com/rentals/1014387,,,open,
high,Peaceful Cabin,IdyllwildTemecula,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1121125,https://www.airbnb.com/rooms/1742100515929780609,,https://www.casagosocal.com/vacation-rentals/idyllwild/idyllwild/peaceful-cabin,,,open,
high,The Valley's Cabin,Lake Arrowhead,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101630,,https://www.vrbo.com/5293974,https://www.casagosocal.com/vacation-rentals/lake-arrowhead/green-valley-lake/the-valleys-cabin,,,open,
high,Balboa Duplex II,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101695,,https://www.vrbo.com/5294108,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/balboa-duplex-ii,,,open,
high,Gull Cottage,Orange County,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101664,https://www.airbnb.com/rooms/1618317326759716847,,https://www.casagosocal.com/vacation-rentals/orange-county/seal-beach/gull-cottage,,,open,
high,Mickey's Hideaway,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101681,,https://www.vrbo.com/5294078,https://www.casagosocal.com/vacation-rentals/orange-county/anaheim/mickeys-hideaway,,,open,
high,Newport Coastal Comfort,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101794,,https://www.vrbo.com/5294304,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-coastal-comfort,,,open,
high,Newport Coastal Compound,Orange County,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101697,https://www.airbnb.com/rooms/1613974573177791219,,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-coastal-compound,,,open,
high,Newport Vacation Memories,Orange County,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101645,https://www.airbnb.com/rooms/1613974402129823033,,https://www.casagosocal.com/vacation-rentals/orange-county/newport-beach/newport-vacation-memories,,,open,
high,Pier View Paradise,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101684,,https://www.vrbo.com/5294085,https://www.casagosocal.com/vacation-rentals/orange-county/san-clemente/pier-view-paradise,,,open,
high,Tommy Bahama Beach Rd I,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101663,,https://www.vrbo.com/5294041,https://www.casagosocal.com/vacation-rentals/orange-county/dana-point/tommy-bahama-beach-rd-i,,,open,
high,Tommy Bahama Beach Rd II,Orange County,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101676,,https://www.vrbo.com/5294068,https://www.casagosocal.com/vacation-rentals/orange-county/dana-point/tommy-bahama-beach-rd-ii,,,open,
high,Eclectic Vibe,PalmSprings,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1092905,https://www.airbnb.com/rooms/734730888102218289,,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-springs/eclectic-vibe-o,,,open,
high,Mid Mod Sunsation,PalmSprings,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1092806,https://www.airbnb.com/rooms/19607469,,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-springs/mid-mod-sunsation,,,open,
high,Modern Luxe,PalmSprings,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1092709,https://www.airbnb.com/rooms/48993229,,https://casago.com/rental/1092709.html,,,open,
high,Palm Desert Oasis on the Green,PalmSprings,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1051000,https://www.airbnb.com/rooms/1683520016731306260,,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-desert/palm-desert-oasis-on-the-green,,,open,
high,Paradise Views Townhome,PalmSprings,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050604,https://www.airbnb.com/rooms/48212077,https://www.vrbo.com/5135378,,,,open,
high,Poolside Modern Wexler - 1261,PalmSprings,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1051176,,https://www.vrbo.com/5136123,https://casago.com/rentals/1014356,,,open,
high,The Fairway Palm Springs,PalmSprings,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1121121,https://www.airbnb.com/rooms/1742100541455921032,,https://casago.com/rental/1121121.html,,,open,
high,Blue Cactus Getaway,Phoenix,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1051140,https://www.airbnb.com/rooms/1745096986682128876,https://www.vrbo.com/5136082,,,,open,
high,Glorious Glendale Getaway,Phoenix,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1050737,,https://www.vrbo.com/5135551,https://casago.com/rentals/1013936,,,open,
high,Paradise Valley Vacation Home,Phoenix,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1051077,,,https://www.casagoarizona.com/vacation-rentals/phoenix/phoenix/paradise-valley-vacation-home,,,open,
high,Rolling Hills Haven,Phoenix,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1128196,,,https://casago.com/rental/1128196.html,,,open,
high,Spacious Relaxing Sanctuary,Phoenix,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1051039,https://www.airbnb.com/rooms/1747386065228174906,https://www.vrbo.com/5135977,,,,open,
high,The Urban Vale,Phoenix,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1128195,,,https://casago.com/rental/1128195.html,,,open,
high,Troon North Golf Casitas - TC102,Phoenix,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1039399,,https://www.vrbo.com/384316,https://www.casagoarizona.com/vacation-rentals/scottsdale/scottsdale/troon-north-golf-casitas-TC102,,,open,
high,The Whispering Woods,PineTop,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050728,https://www.airbnb.com/rooms/1146475943719041483,https://www.vrbo.com/5135535,,,,open,
high,Rockridge,Sedona,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1050641,https://www.airbnb.com/rooms/1612340347512678554,https://www.vrbo.com/5135426,,,,open,
high,Mountain View Retreat,Tucson,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1039388,https://www.airbnb.com/rooms/712387390788735361,https://www.vrbo.com/2998021,,,,open,
high,Vistoso Resort Casita #149,Tucson,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1051241,https://www.airbnb.com/rooms/22368907,https://www.vrbo.com/5136191,,,,open,
medium,Dream House,(unassigned),,"In Wazzi Data, not in Streamline",Remove or archive the stale Wazzi Data record.,,1042222,,,,,,open,
medium,Palm Springs Office,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1106800,,,,,,open,
medium,Reservation Group Unit,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1131396,,,,,,open,
medium,Scottsdale Office,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1039359,,,,,,open,
medium,Sedona Office,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1039365,,,,,,open,
medium,Test Scottsdale,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1039367,,,,,,open,
medium,Tucson Office,(unassigned),,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,admin/test unit — deactivate in KeyData,1039363,,,,,,open,
medium,Bangor Lane Oasis,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101727,,,,,,open,
medium,Brockton Diamond,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101651,,,,,,open,
medium,Colors of the Coast,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101655,,,,,,open,
medium,Fernald Point Adventure,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101622,,,,,,open,
medium,Groovy Getaway,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101703,,,,,,open,
medium,Pebble Beach Abundant Oasis,Central Coast,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101731,,,,,,open,
medium,Calle Rondo Haven,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050843,,,,,,open,
medium,Evening Star Resort,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050892,,,,,,open,
medium,Music Festival Haven in the Desert,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051147,,,,,,open,
medium,Sun City Escape,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051132,,,,,,open,
medium,The Poolhouse at La Quinta,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050750,,,,,,open,
medium,The Poolhouse at La Quinta,Coachella,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1050750,,,,,,open,
medium,Vista del Sol,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1056219,,,,,,open,
medium,Vista del Sol,Coachella,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1056219,,,,,,open,
medium,Wish You Were Here,Coachella,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050970,,,,,,open,
medium,Casa de Canyon,Flagstaff,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051084,,,,,,open,
medium,Lynx Cabin,Flagstaff,,"In Wazzi Data, not in Streamline",Remove or archive the stale Wazzi Data record.,,1051266,,,,,,open,
medium,Mountainaire Haven,Flagstaff,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051021,,,,,,open,
medium,Whispering Pines,Flagstaff,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1051386,,,,,,open,
medium,Blue Canyon Paradise,HighDesert,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050936,,,,,,open,
medium,Blue Canyon Paradise,HighDesert,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1050936,,,,,,open,
medium,TERMINATED - Everett Retreat,IdyllwildTemecula,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051385,,,,,,open,
medium,Adorable Explorable,Lake Arrowhead,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101687,,,,,,open,
medium,Cloud Nine,Lake Arrowhead,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101834,,,,,,open,
medium,Howard's Cabin,Lake Arrowhead,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101823,,,,,,open,
medium,Bayfront Beauty,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101667,,,,,,open,
medium,Bayfront Beauty,Orange County,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1101667,,,,,,open,
medium,Bayfront Beauty I,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101789,,,,,,open,
medium,Bayfront Beauty I,Orange County,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1101789,,,,,,open,
medium,Bayfront Beauty II,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101790,,,,,,open,
medium,Bayfront Beauty II,Orange County,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1101790,,,,,,open,
medium,Cheery Retreat,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101649,,,,,,open,
medium,Hues and Views,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101679,,,,,,open,
medium,Hues and Views,Orange County,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1101679,,,,,,open,
medium,Perfect Newport Beach Location With Balcony Spa II,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101776,,,,,,open,
medium,Perfect Newport Beach Location With Spa I,Orange County,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1101657,,,,,,open,
medium,Alluring Palm Desert Retreat,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050810,,,,,,open,
medium,Baristo Modern Retreat,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1093026,https://www.airbnb.com/rooms/1551674609491902989,https://www.vrbo.com/20216720ha,https://casago.com/rental/1093026.html,,,open,
medium,Biltmore Bliss,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051038,https://www.airbnb.com/rooms/1358650594296754404,https://www.vrbo.com/5135976,https://casago.com/rentals/1014231,,,open,
medium,Blue Waters at Andreas Hills,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1092699,,,,,,open,
medium,Boo Boo's Hideaway,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1092818,,,,,,open,
medium,Caballeros,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1092791,https://www.airbnb.com/rooms/52380722,https://www.vrbo.com/9604504ha,https://casago.com/rental/1092791.html,,,open,
medium,Caballeros Condo,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1050706,https://www.airbnb.com/rooms/1355705413382562137,https://www.vrbo.com/5135500,https://casago.com/rentals/1013905,,,open,
medium,Caballeros Retreat,PalmSprings,,"Active in KeyData, not renting in Streamline",Deactivate in KeyData — this is not a renting property.,non-renting in Streamline,1093027,,,,,,open,
medium,Cactus Path,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051259,,,,,,open,
medium,California Cottage,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1050527,https://www.airbnb.com/rooms/1015066042486428905,https://www.vrbo.com/5135288,https://casago.com/rentals/1013732,,,open,
medium,Calm Waters Palm Springs,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1121978,https://www.airbnb.com/rooms/1720394835974824158,https://www.vrbo.com/5367263,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-springs/calm-waters-palm-springs,,,open,
medium,Canyon Country Club Unit 58,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1050866,https://www.airbnb.com/rooms/1604071572163441474,https://www.vrbo.com/5135767,https://casago.com/rentals/1014062,,,open,
medium,Canyon Sands Hideaway,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051192,https://www.airbnb.com/rooms/1355706747578067107,https://www.vrbo.com/5136140,https://casago.com/rentals/1014372,,,open,
medium,Carlotta Haven w/ EV Charger,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1050912,https://www.airbnb.com/rooms/1603772794680840619,https://www.vrbo.com/5135838,https://casago.com/rentals/1014108,,,open,
medium,Casa Escuela,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1092836,,,,,,open,
medium,Casa Sereno,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051392,https://www.airbnb.com/rooms/1521838238614743887,https://www.vrbo.com/5136336,https://casago.com/rentals/1014540,,,open,
medium,Casa Solara,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1056215,,,,,,open,
medium,Casa Soluna - 49226,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050761,,,,,,open,
medium,Casa del Lago Mirage,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1050732,https://www.airbnb.com/rooms/1515992582891250876,https://www.vrbo.com/5135545,https://casago.com/rentals/1013931,,,open,
medium,Cathedral City Oasis,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051352,https://www.airbnb.com/rooms/1523198294360612556,https://www.vrbo.com/5136297,https://casago.com/rentals/1014504,,,open,
medium,Center Court Escape,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051356,https://www.airbnb.com/rooms/1449977363574313555,https://www.vrbo.com/5136301,https://casago.com/rentals/1014508,,,open,
medium,Cerritos Style - 48864,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1051231,,,,,,open,
medium,Citrus Springs,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1093012,,,,,,open,
medium,Cliff House - El Paseo Retreat,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1051160,https://www.airbnb.com/rooms/1603774194216065253,https://www.vrbo.com/5136105,https://casago.com/rentals/1014341,,,open,
medium,Cody Place Luxe,PalmSprings,,No COPS account/bank ID,Add the COPS account and bank IDs to the unit record.,,1093037,https://www.airbnb.com/rooms/1628335739949027358,https://www.vrbo.com/20256800ha,https://casago.com/rental/1093037.html,,,open,
medium,De Anza Escape,PalmSprings,,Stage says Live but unit is Non-Renting,"Reconcile the two fields: either set the unit back to Renting, or change Property Stage off Live.","Property Stage = Live, Renting Type = Non-Renting",1050835,,,,,,open,
